"","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","Quality"
"337",0.43,0.45,1.9,0.052,16,0.9948,3.35,0.7,12.5,"G"
"338",0.43,0.32,2.8,0.08,58,0.9974,3.31,0.64,10.3,"B"
"339",0.49,0.58,3,0.103,99,1.0008,3.16,1,11.5,"G"
"340",0.28,0.54,2.3,0.082,29,0.9997,3.11,1.36,9.8,"G"
"341",0.34,0.5,2.4,0.066,21,1,3.12,1.18,9.2,"G"
"342",0.42,0.48,2.7,0.065,18,0.9972,3.21,0.87,11.3,"G"
"343",0.39,0.47,1.8,0.118,14,0.9982,3.3,0.75,9.8,"G"
"344",0.39,0.47,1.8,0.118,14,0.9982,3.3,0.75,9.8,"G"
"345",0.57,0.5,2.6,0.082,32,1.0006,3.12,0.78,10.7,"G"
"346",0.685,0,1.9,0.067,63,0.9979,3.6,0.81,9.9,"B"
"347",0.815,0.02,2.7,0.072,34,0.9955,3.58,0.89,12.3,"G"
"348",0.49,0.67,3,0.093,15,0.9986,3.02,0.93,12,"G"
"349",0.56,0.31,2.8,0.089,46,0.9979,3.11,0.92,10,"G"
"350",0.785,0,2.6,0.093,28,0.9994,3.36,0.86,9.4,"G"
"351",0.67,0.22,2.7,0.107,34,1.0004,3.28,0.98,9.9,"G"
"352",0.795,0,2.6,0.096,26,0.9994,3.35,0.83,9.4,"G"
"353",0.665,0,2.4,0.09,19,0.9974,3.27,0.73,9.3,"B"
"354",0.53,0.79,4.8,0.12,77,1.0018,3.18,0.77,13,"B"
"355",0.21,0.4,1.4,0.066,165,0.9912,3.25,0.59,11.9,"G"
"356",0.75,0.01,2.4,0.078,32,0.9955,3.55,0.61,12.8,"G"
"357",0.41,0.52,3,0.08,55,1.0001,3.26,0.88,11,"B"
"358",0.42,0.66,2.95,0.116,29,0.997,3.24,0.75,11.7,"G"
"359",0.43,0.66,3.1,0.109,23,1,3.15,0.85,10.4,"G"
"360",0.38,0.66,2.6,0.088,41,1.001,3.17,0.68,9.8,"G"
"361",0.7,0.23,2,0.099,81,0.9973,3.19,0.7,9.4,"B"
"362",0.45,0.31,2.6,0.086,50,0.9982,3.37,0.91,9.9,"G"
"363",0.58,0.66,2.5,0.072,37,0.9992,3.05,0.56,10,"B"
"364",0.46,0.63,2,0.071,15,0.9988,2.99,0.87,10.2,"B"
"365",0.615,0.66,5.8,0.083,42,1.0022,3.07,0.73,10,"G"
"366",0.42,0.5,3.4,0.107,21,0.9979,3.26,0.93,11.8,"G"
"367",0.615,0.66,5.8,0.083,42,1.0022,3.07,0.73,10,"G"
"368",0.575,0.61,2.6,0.076,24,1,3.16,0.69,9,"B"
"369",0.34,0.52,2.8,0.159,75,0.9998,3.18,0.64,9.4,"B"
"370",0.27,0.53,2.4,0.074,18,0.9962,3.2,1.13,12,"G"
"371",0.765,0.02,2.3,0.063,63,0.9975,3.57,0.78,9.9,"B"
"372",0.24,0.4,1.6,0.056,25,0.9967,3.32,0.87,8.7,"G"
"373",0.28,0.48,1.8,0.067,46,0.9967,3.32,1.04,10.6,"G"
"374",0.55,0.22,2.2,0.106,72,0.9959,3.05,0.63,9.2,"B"
"375",0.41,0.63,3.8,0.089,47,1.0014,3.01,0.81,10.8,"G"
"376",0.54,0.71,4.4,0.124,15,0.9984,3.01,0.83,11.8,"G"
"377",0.45,0.5,3,0.078,47,1.0003,3.26,1.11,11,"G"
"378",0.27,0.53,2.4,0.074,18,0.9962,3.2,1.13,12,"G"
"379",0.625,0.66,6.2,0.088,24,0.9988,3.11,0.99,13.3,"G"
"380",0.42,0.38,2.5,0.094,60,0.9979,3.31,0.7,10.8,"G"
"381",0.26,0.42,2,0.08,27,0.9974,3.21,0.8,9.4,"G"
"382",0.415,0.68,2.9,0.085,43,1.0014,3.06,0.8,10,"G"
"383",0.26,0.42,2,0.08,27,0.9974,3.21,0.8,9.4,"G"
"384",0.26,0.42,2,0.08,27,0.9974,3.21,0.8,9.4,"G"
"385",0.51,0.28,2.1,0.087,54,0.998,3.42,0.74,9.2,"B"
"386",0.63,0.07,2.4,0.09,37,0.9979,3.43,0.76,9.7,"G"
"387",0.54,0.26,2,0.088,48,0.9981,3.41,0.74,9.2,"G"
"388",0.66,0.15,1.9,0.079,42,0.9972,3.31,0.54,9.6,"G"
"389",0.46,0.26,1.9,0.088,53,0.9981,3.43,0.74,9.2,"G"
"390",0.38,0.31,2.5,0.096,49,0.9982,3.19,0.7,10,"G"
"391",0.85,0.05,1.4,0.045,88,0.9924,3.56,0.82,12.9,"G"
"392",0.415,0.68,2.9,0.085,43,1.0014,3.06,0.8,10,"G"
"393",0.37,0.52,2,0.082,26,0.998,3.18,0.51,9.5,"B"
"394",0.665,0.61,2,0.112,95,0.997,3.16,0.54,9.1,"B"
"395",0.6,0.65,2.3,0.063,25,0.9997,3.03,0.57,9.9,"B"
"396",0.37,0.76,4.2,0.066,38,1.0004,3.22,0.6,13,"G"
"397",0.735,0.02,7.9,0.122,124,0.9994,3.47,0.53,9.9,"B"
"398",0.59,0.59,2.6,0.087,49,0.9988,3.18,0.65,11,"G"
"399",0.59,0.59,2.6,0.087,49,0.9988,3.18,0.65,11,"G"
"400",0.765,0.22,2.3,0.064,42,0.9963,3.1,0.55,9.4,"B"
"401",0.735,0.02,7.9,0.122,124,0.9994,3.47,0.53,9.9,"B"
"402",0.26,0.3,1.7,0.059,38,0.9949,3.29,0.47,10.8,"G"
"403",0.48,0.54,2.6,0.085,64,1,3.1,0.61,10.5,"G"
"404",0.6,0.49,2.7,0.085,41,0.9994,3.15,0.63,10.5,"G"
"405",0.69,0.05,2.7,0.075,27,0.9974,3.26,0.61,9.1,"B"
"406",0.31,0.46,1.4,0.059,25,0.9966,3.36,0.76,10.1,"G"
"407",0.44,0.47,2.5,0.063,28,0.9981,3.24,0.65,10.8,"G"
"408",0.39,0.66,3,0.093,30,0.9996,3.18,0.63,10.8,"G"
"409",0.34,0.58,3.7,0.174,16,0.997,3.19,0.7,11.3,"G"
"410",0.46,0.49,4.5,0.07,49,0.9981,3.05,0.57,9.6,"B"
"411",0.43,0.34,2.5,0.08,86,0.9987,3.38,0.62,9.5,"G"
"412",0.45,0.35,2.4,0.08,78,0.9987,3.38,0.62,9.5,"B"
"413",0.735,0.16,1.9,0.1,77,0.9966,3.27,0.64,9.3,"B"
"414",0.4,0.53,6.7,0.097,19,0.9986,3.27,0.82,11.7,"G"
"415",0.52,0.34,2.7,0.087,122,0.9982,3.26,0.61,9.5,"B"
"416",0.725,0.24,6.6,0.117,134,1.0014,3.32,1.07,9.3,"B"
"417",0.48,0.64,2.2,0.111,20,0.997,3.26,0.66,11.7,"G"
"418",0.58,0.12,1.9,0.091,124,0.9956,3.44,0.48,10.5,"B"
"419",0.38,0.51,2,0.121,20,0.9996,3.24,0.76,10.4,"G"
"420",0.77,0,1.8,0.066,52,0.9976,3.62,0.68,9.9,"B"
"421",0.56,0.33,2.4,0.089,67,0.9972,3.28,0.73,11.8,"G"
"422",0.84,0.03,2.3,0.059,48,0.9952,3.52,0.56,12.3,"G"
"423",0.96,0.2,2,0.047,60,0.9955,3.36,0.44,10.9,"B"
"424",0.24,0.47,2.1,0.066,24,0.9978,3.15,0.9,11,"G"
"425",0.96,0.2,2,0.047,60,0.9955,3.36,0.44,10.9,"B"
"426",0.84,0.03,2.3,0.059,48,0.9952,3.52,0.56,12.3,"G"
"427",0.67,0.08,2.1,0.045,48,0.9949,3.49,0.49,11.4,"G"
"428",0.78,0.22,1.9,0.077,32,0.9988,3.26,0.56,10.6,"G"
"429",0.52,0.33,1.3,0.07,30,0.9978,3.24,0.6,9.3,"B"
"430",0.84,0.63,2.4,0.088,35,0.9997,3.1,0.6,10.4,"G"
"431",0.24,0.47,2.1,0.066,24,0.9978,3.15,0.9,11,"G"
"432",0.55,0.35,2.2,0.074,66,0.9974,3.25,0.56,9.2,"B"
"433",0.37,0.69,2.3,0.078,24,0.9958,3,0.65,12.8,"G"
"434",0.39,0.63,2.3,0.091,18,1.0004,3.16,0.49,9.5,"B"
"435",0.41,0.55,3.2,0.076,54,0.9996,3.15,0.89,9.9,"G"
"436",0.39,0.63,2.3,0.091,18,1.0004,3.16,0.49,9.5,"B"
"437",0.67,0.3,2,0.06,62,0.9958,3.26,0.56,10.2,"G"
"438",0.45,0.73,3.2,0.066,22,0.9986,3.17,0.66,11.2,"G"
"439",0.41,0.55,3.2,0.076,54,0.9996,3.15,0.89,9.9,"G"
"440",0.62,0.18,1.5,0.062,50,0.9951,3.08,0.6,9.3,"B"
"441",0.31,0.72,2.2,0.072,29,0.9987,2.88,0.82,9.8,"G"
"442",0.4,0.65,2.15,0.068,27,0.9988,3.06,0.68,11.3,"G"
"443",0.685,0.76,3.7,0.1,43,1.0032,2.95,0.68,11.2,"G"
"444",0.44,0.49,2.7,0.077,19,0.9963,3.23,0.63,11.6,"G"
"445",0.57,0.01,1.7,0.054,27,0.9934,3.57,0.84,12.5,"G"
"446",0.735,0.1,2.1,0.079,31,0.9986,3.23,0.56,10.1,"G"
"447",0.38,0.6,2.6,0.081,72,0.9996,3.1,0.73,10.5,"B"
"448",0.48,0.29,2.1,0.127,16,0.9968,3.22,0.72,11.2,"B"
"449",0.53,0.22,2,0.1,27,0.9967,3.2,0.56,10.2,"G"
"450",0.39,0.69,2.8,0.095,35,0.9994,3.1,0.61,10.8,"G"
"451",0.39,0.69,2.8,0.095,35,0.9994,3.1,0.61,10.8,"G"
"452",0.37,0.53,1.8,0.413,26,0.9979,3.06,1.06,9.1,"G"
"453",0.56,0.03,1.7,0.084,35,0.9968,3.44,0.63,10,"G"
"454",0.33,0.63,2.8,0.084,22,0.9998,3.26,0.74,11.2,"G"
"455",0.23,0.4,1.6,0.063,67,0.9952,3.5,0.63,11.1,"B"
"456",0.62,0.67,5.2,0.086,19,0.9988,3.22,0.69,13.4,"G"
"457",0.59,0.39,2.3,0.095,22,0.9986,3.37,0.58,10.3,"B"
"458",0.63,0.21,2.7,0.097,65,0.9988,3.28,0.58,9.6,"B"
"459",0.33,0.63,2.8,0.084,22,0.9998,3.26,0.74,11.2,"G"
"460",0.58,0.66,2.2,0.074,47,1.0008,3.25,0.57,9,"B"
"461",0.43,0.52,2.3,0.083,23,0.9976,3.35,0.61,11.3,"G"
"462",0.615,0.22,2.6,0.087,19,0.9982,3.26,0.61,9.3,"B"
"463",0.26,0.68,2.55,0.085,25,0.997,3.18,0.61,11.8,"B"
"464",0.66,0.7,2.2,0.098,129,0.9972,3.08,0.53,9,"B"
"465",0.315,0.54,2.1,0.084,15,0.9987,2.98,0.7,9.2,"G"
"466",0.29,0.4,2.9,0.098,26,1.0006,3.48,0.91,9.7,"B"
"467",0.5,0.42,2,0.069,51,0.9982,3.16,0.72,11.5,"G"
"468",0.46,0.45,2.6,0.065,18,0.9947,3.32,0.79,14,"G"
"469",0.36,0.69,2.1,0.09,21,1,3.17,0.62,9.2,"G"
"470",0.82,0.02,1.2,0.07,48,0.9952,3.2,0.58,9.8,"B"
"471",0.32,0.65,2.6,0.093,47,0.9996,3.05,0.61,10.6,"B"
"472",0.54,0.42,2.4,0.081,52,0.997,3.2,0.71,11.4,"G"
"473",0.37,0.55,2.6,0.083,68,0.9995,3.15,0.82,10.4,"G"
"474",0.35,0.55,2.1,0.062,14,0.9971,3.26,0.79,10.6,"B"
"475",0.28,0.51,1.7,0.08,24,0.9982,3.2,0.89,9.4,"G"
"476",0.68,0.24,2.2,0.087,28,0.9988,3.14,0.6,10.2,"B"
"477",0.27,0.41,2,0.091,16,0.998,3.28,0.7,9.7,"B"
"478",0.24,0.49,1.8,0.075,20,0.9977,3.18,1.06,11,"G"
"479",0.68,0.24,2.2,0.087,28,0.9988,3.14,0.6,10.2,"B"
"480",0.685,0.11,2.7,0.077,31,0.9984,3.19,0.7,10.1,"G"
"481",0.28,0.39,15.5,0.069,23,1.0026,3.12,0.66,9.2,"B"
"482",0.3,0.56,2.8,0.08,17,0.9964,3.15,0.92,11.7,"G"
"483",0.36,0.59,2.2,0.152,18,0.9986,3.04,1.05,9.4,"B"
"484",0.36,0.6,2.2,0.152,18,0.9986,3.04,1.06,9.4,"B"
"485",0.44,0.68,4.1,0.114,24,0.997,3.06,0.66,13.4,"G"
"486",0.67,0.39,1.9,0.054,17,0.9976,3.17,0.47,10,"B"
"487",0.67,0.39,1.9,0.054,17,0.9976,3.17,0.47,10,"B"
"488",0.645,0.36,1.8,0.053,14,0.9982,3.17,0.42,10,"G"
"489",0.32,0.55,2.8,0.081,67,1.0002,3.32,0.92,10.8,"G"
"490",0.39,0.4,2.6,0.073,26,0.9984,3.34,0.75,10.2,"G"
"491",0.775,0.27,2.8,0.078,56,0.9984,3.31,0.67,10.6,"G"
"492",0.41,0.5,2.5,0.055,25,0.9952,3.34,0.79,13.3,"G"
"493",0.4,0.51,2.6,0.052,27,0.995,3.32,0.9,13.4,"G"
"494",0.69,0.31,3,0.086,81,1.0002,3.48,0.74,11.6,"G"
"495",0.39,0.23,8.3,0.051,91,0.9952,3.44,0.55,12.1,"G"
"496",0.35,0.53,2.6,0.07,16,0.9972,3.15,0.65,11,"G"
"497",0.52,0.25,1.9,0.081,38,0.9984,3.43,0.65,9,"G"
"498",0.34,0.32,2.5,0.09,113,0.9966,3.32,0.79,11.1,"B"
"499",0.35,0.53,2.6,0.07,16,0.9972,3.15,0.65,11,"G"
"500",0.69,0.31,3,0.086,81,1.0002,3.48,0.74,11.6,"G"
"501",0.52,0.25,1.9,0.081,38,0.9984,3.43,0.65,9,"G"
"502",0.44,0.73,6.55,0.074,76,0.999,3.17,0.85,12,"G"
"503",0.44,0.73,6.55,0.074,76,0.999,3.17,0.85,12,"G"
"504",0.26,0.47,1.9,0.078,24,0.9976,3.18,1.04,10.9,"G"
"505",0.24,0.42,1.8,0.077,22,0.9976,3.21,1.05,10.8,"G"
"506",0.49,0.63,2.9,0.072,26,0.9968,3.16,0.78,12.5,"G"
"507",0.24,0.46,1.8,0.075,21,0.9976,3.25,1.02,10.8,"G"
"508",0.67,0.55,2.3,0.084,13,1,3.17,0.71,9.5,"G"
"509",0.59,0.31,2.2,0.09,62,0.9994,3.18,0.63,10.2,"G"
"510",0.29,0.75,2.8,0.084,43,0.9986,3.04,0.68,11.4,"G"
"511",0.42,0.49,4.6,0.073,43,0.9978,3.02,0.61,9.5,"B"
"512",0.59,0.31,2.2,0.09,62,0.9994,3.18,0.63,10.2,"G"
"513",0.4,0.48,2.1,0.125,49,0.998,3.03,0.81,9.7,"G"
"514",0.51,0.64,2.4,0.107,15,0.9973,3.09,0.66,11.8,"G"
"515",0.51,0.64,2.4,0.107,15,0.9973,3.09,0.66,11.8,"G"
"516",0.655,0.49,6.1,0.122,151,1.001,3.31,1.14,9.3,"B"
"517",0.6,0.49,4.3,0.1,14,1.001,3.25,0.74,11.9,"G"
"518",0.61,0.49,2.1,0.2,16,0.9994,3.16,0.63,8.4,"B"
"519",0.21,0.49,2.8,0.088,32,0.9972,3.22,0.68,11.7,"G"
"520",0.365,0.49,2.5,0.088,106,0.9966,3.36,0.78,11,"B"
"521",0.25,0.49,2.7,0.088,33,0.9982,3.42,0.9,10,"G"
"522",0.41,0.49,2,0.088,43,0.998,3.48,0.64,9.1,"B"
"523",0.39,0.49,2.3,0.099,133,0.9979,3.38,0.99,9.8,"B"
"524",0.4,0.49,2.5,0.085,142,0.9978,3.22,0.55,9.4,"B"
"525",0.43,0.49,2.4,0.086,116,0.9976,3.23,0.64,9.5,"B"
"526",0.64,0.24,2.8,0.105,53,0.9998,3.24,0.67,9.9,"B"
"527",0.365,0.49,2.5,0.088,106,0.9966,3.36,0.78,11,"B"
"528",0.38,0.49,2.5,0.097,85,0.9962,3.39,0.77,11.4,"G"
"529",0.42,0.49,2.6,0.084,55,0.9988,3.34,0.75,8.7,"G"
"530",0.63,0.24,2.4,0.077,33,0.9974,3.09,0.57,9.4,"B"
"531",0.22,0.24,2.1,0.078,28,0.999,3.41,0.87,10.3,"G"
"532",0.38,0.49,2.7,0.098,42,1.0004,3.16,0.61,10.3,"B"
"533",0.38,0.49,2.7,0.098,42,1.0004,3.16,0.61,10.3,"B"
"534",0.27,0.24,2.1,0.072,33,0.9956,3.22,0.66,12.8,"G"
"535",0.48,0.24,2.7,0.102,32,1,3.28,0.56,10,"G"
"536",0.22,0.24,2.1,0.078,28,0.999,3.41,0.87,10.3,"G"
"537",0.63,0.24,2.4,0.077,33,0.9974,3.09,0.57,9.4,"B"
"538",0.825,0.24,2.1,0.084,13,0.9972,3.37,0.77,10.7,"G"
"539",0.35,0.49,5.8,0.066,35,1.0014,3.2,0.66,12,"G"
"540",0.5,0.74,5.15,0.1,17,0.9996,3.22,0.62,11.2,"B"
"541",0.59,0.24,3.3,0.101,47,0.9988,3.26,0.67,9.6,"B"
"542",0.46,0.49,6.3,0.064,17,0.9988,3.21,0.73,11,"G"
"543",0.715,0.24,2.1,0.07,20,0.9966,3.12,0.59,9.9,"B"
"544",0.66,0.24,2.5,0.085,53,0.9993,3.06,0.72,11,"G"
"545",0.31,0.74,1.8,0.075,15,1.0008,2.86,0.79,8.4,"G"
"546",0.47,0.49,2.6,0.094,106,0.9982,3.08,0.59,9.1,"B"
"547",0.55,0.24,2,0.078,28,0.9983,3.45,0.78,9.5,"G"
"548",0.31,0.49,2.5,0.067,21,0.9987,3.26,0.86,10.7,"G"
"549",0.35,0.49,2.6,0.079,69,0.9994,3.12,0.75,10.4,"G"
"550",0.53,0.49,1.9,0.171,25,0.9975,3.27,0.61,9.4,"G"
"551",0.51,0.01,2.1,0.074,25,0.9958,3.33,0.56,9.5,"G"
"552",0.43,0.24,2.8,0.092,45,0.998,3.19,0.73,10,"G"
"553",0.46,0.24,2.7,0.092,44,0.998,3.12,0.74,10,"G"
"554",1.04,0.24,1.6,0.05,96,0.9934,3.74,0.62,11.5,"B"
"555",0.645,0.49,4.2,0.095,23,1.00315,2.92,0.74,11.1,"B"
"556",0.645,0.49,4.2,0.095,23,1.00315,2.92,0.74,11.1,"B"
"557",0.53,0.49,4.6,0.118,17,1.0002,3.07,0.56,11.7,"G"
"558",0.645,0.49,4.2,0.095,23,1.00315,2.92,0.74,11.1,"B"
"559",0.53,0.49,4.6,0.118,17,1.0002,3.07,0.56,11.7,"G"
"560",0.47,0.49,4.3,0.085,47,1.0021,3.3,0.68,12.7,"G"
"561",0.6,0.49,2.8,0.075,19,0.9994,3.14,0.57,11.4,"B"
"562",0.44,0.49,2.4,0.078,121,0.9978,3.23,0.58,9.2,"B"
"563",0.54,0.49,2.9,0.094,110,0.9982,3.08,0.61,9.2,"B"
"564",0.29,0.49,2.7,0.092,60,0.9971,3.31,0.61,10.1,"G"
"565",0.47,0.49,4.3,0.085,47,1.0021,3.3,0.68,12.7,"G"
"566",0.6,0.49,2.8,0.075,19,0.9994,3.14,0.57,11.4,"B"
"567",0.7,0.24,2.5,0.226,15,0.9991,3.32,0.6,9,"G"
"568",0.7,0.24,2.5,0.226,15,0.9991,3.32,0.6,9,"G"
"569",0.5,0.49,2.6,0.25,20,0.999,3.31,0.79,10.7,"G"
"570",0.36,0.24,2.2,0.095,42,0.9946,3.57,0.57,11.7,"G"
"571",0.35,0.49,3.3,0.07,37,1.0003,3.32,0.91,11,"G"
"572",0.36,0.24,2.2,0.095,42,0.9946,3.57,0.57,11.7,"G"
"573",0.24,0.49,2.4,0.075,28,0.9978,3.14,0.61,10.4,"B"
"574",0.59,0.49,2.1,0.07,47,0.9991,3.3,0.56,9.6,"B"
"575",0.34,0.49,3.2,0.078,78,0.9992,3.19,0.7,10,"G"
"576",0.27,0.49,3.1,0.079,46,0.9993,3.2,0.8,10.2,"G"
"577",0.5,0.24,2.3,0.103,14,0.9978,3.34,0.52,10,"B"
"578",0.44,0.49,2.8,0.083,111,0.9982,3.3,0.6,9.5,"B"
"579",0.47,0.49,2.9,0.085,110,0.9982,3.29,0.6,9.8,"B"
"580",0.31,0.49,2.2,0.063,40,0.9976,3.14,0.51,9.8,"G"
"581",0.5,0.49,2.2,0.089,14,1.0002,3.19,0.44,9.6,"B"
"582",0.5,0.49,2.2,0.089,14,1.0002,3.19,0.44,9.6,"B"
"583",0.49,0.49,2.2,0.083,15,1,3.19,0.43,9.2,"B"
"584",0.28,0.49,1.9,0.074,21,0.9976,2.98,0.66,9.9,"G"
"585",0.33,0.49,3.4,0.093,80,1.0002,3.3,0.76,10.7,"G"
"586",0.51,0.24,2.4,0.091,38,0.998,3.47,0.66,9.6,"G"
"587",0.31,0.49,2.7,0.094,47,0.9986,3.12,1.02,10.6,"G"
"588",0.73,0.24,1.9,0.108,102,0.9967,3.26,0.59,9.3,"B"
"589",0.42,0.24,2,0.06,50,0.9917,3.72,0.74,14,"G"
"590",0.29,0.49,2.6,0.059,13,0.9976,3.05,0.74,10.5,"G"
"591",0.45,0.49,2.6,0.084,75,0.9987,3.35,0.57,9.7,"B"
"592",0.39,0.49,1.7,0.07,149,0.9922,3.12,0.5,11.5,"G"
"593",0.45,0.49,2.6,0.084,75,0.9987,3.35,0.57,9.7,"B"
"594",0.49,0.58,3.5,0.094,43,1.0004,3.29,0.58,9,"B"
"595",0.72,0.17,2.6,0.096,38,0.9978,3.4,0.53,9.5,"B"
"596",0.595,0.41,7.9,0.086,109,0.9998,3.27,0.57,9.3,"B"
"597",0.4,0.51,2,0.059,24,0.9994,3.04,0.6,9.3,"G"
"598",0.58,0.58,1.9,0.071,18,0.998,3.09,0.63,10,"G"
"599",0.585,0.18,2.1,0.078,30,0.9967,3.2,0.48,9.8,"G"
"600",0.59,0.45,2.3,0.082,22,1,3,0.7,9.3,"G"
"601",0.915,0.27,2.1,0.088,23,0.9962,3.26,0.47,10,"B"
"602",0.46,0.52,2.2,0.071,35,1.0006,3.1,0.56,9,"G"
"603",0.835,0,2.6,0.081,14,0.9975,3.3,0.52,9.3,"B"
"604",0.46,0.52,2.2,0.071,35,1.0006,3.1,0.56,9,"G"
"605",0.58,0.13,2.9,0.096,63,0.9984,3.17,0.62,9.1,"G"
"606",0.6,0.13,2.6,0.085,24,0.9984,3.31,0.59,9.2,"G"
"607",0.41,0.48,4.6,0.072,20,0.9973,3.34,0.79,12.2,"G"
"608",0.48,0.41,3.3,0.092,52,0.9982,3.31,0.53,10.5,"G"
"609",0.65,0.37,5.1,0.11,65,1.0026,3.32,0.64,10.4,"G"
"610",0.36,0.19,3.2,0.075,39,0.9956,3.56,0.52,12.7,"G"
"611",0.24,0.54,2.5,0.083,57,0.9983,3.39,0.54,9.2,"B"
"612",0.38,0.55,2.7,0.081,16,1.0006,2.98,0.54,9.4,"B"
"613",0.64,0,2.4,0.077,29,0.9965,3.32,0.6,10,"G"
"614",0.39,0.38,1.5,0.058,29,0.9962,3.26,0.74,9.8,"B"
"615",0.755,0.18,2.2,0.148,103,0.9969,2.87,1.36,10.2,"G"
"616",0.6,0.5,2.3,0.079,71,0.9997,3.5,0.57,9.7,"B"
"617",0.6,0.5,2.3,0.079,71,0.9997,3.5,0.57,9.7,"B"
"618",0.31,0.51,2.2,0.079,28,0.9982,3.03,0.93,9.8,"G"
"619",0.46,0.5,2.7,0.122,17,1.0006,3.13,0.7,10.2,"B"
"620",0.37,0.41,2.3,0.088,16,0.9988,3.09,0.8,9.3,"B"
"621",0.54,0.24,3.4,0.076,112,0.9976,3.27,0.61,9.4,"B"
"622",0.56,0.23,3.4,0.078,104,0.9976,3.28,0.62,9.4,"B"
"623",0.58,0.22,1.9,0.08,32,0.9974,3.13,0.55,9.5,"B"
"624",0.51,0.25,2.9,0.077,45,0.9974,3.49,0.96,12.1,"G"
"625",0.69,0,5.6,0.124,58,0.9997,3.46,0.72,10.2,"B"
"626",0.69,0,5.6,0.124,58,0.9997,3.46,0.72,10.2,"B"
"627",0.6,0.29,2.2,0.098,15,0.9988,3.36,0.49,9.1,"B"
"628",0.6,0.29,2.2,0.098,15,0.9988,3.36,0.49,9.1,"B"
"629",0.54,0.26,2.5,0.097,31,0.9976,3.27,0.6,9.3,"G"
"630",0.685,0.23,2.3,0.111,84,0.9964,3.21,0.61,9.3,"B"
"631",0.54,0.26,2.5,0.097,31,0.9976,3.27,0.6,9.3,"G"
"632",0.28,0.54,2.7,0.105,19,0.9988,3.25,0.63,9.5,"B"
"633",0.41,0.14,3,0.087,43,0.9964,3.32,0.57,10.5,"G"
"634",0.935,0.22,3.4,0.105,86,1.001,3.43,0.64,11.3,"B"
"635",0.35,0.21,1.9,0.073,102,0.9964,3.27,0.58,9.5,"B"
"636",0.84,0,1.4,0.065,33,0.9954,3.27,0.55,9.7,"B"
"637",0.88,0.28,2.4,0.086,147,0.9979,3.24,0.53,9.4,"B"
"638",0.885,0.27,2.3,0.084,145,0.9978,3.24,0.53,9.4,"B"
"639",0.915,0.12,2.2,0.143,23,0.9964,3.35,0.65,10.2,"G"
"640",0.29,0.35,1.9,0.067,57,0.997,3.18,1.36,10.3,"G"
"641",0.54,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,"B"
"642",0.59,0.44,2.3,0.071,68,0.9992,3.46,0.63,9.5,"B"
"643",0.54,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,"B"
"644",0.59,0.44,2.3,0.071,68,0.9992,3.46,0.63,9.5,"B"
"645",0.54,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,"B"
"646",0.64,0.1,6,0.115,11,0.9984,3.37,0.69,10.1,"G"
"647",0.67,0.05,3.6,0.107,20,0.9972,3.4,0.63,10.1,"B"
"648",0.845,0.01,2.2,0.07,14,0.9967,3.32,0.58,11,"B"
"649",0.48,0.3,2.8,0.066,28,0.9964,3.33,0.67,11.2,"G"
"650",0.42,0.27,8.6,0.068,148,0.9948,3.16,0.57,11.3,"G"
"651",0.43,0.39,2.2,0.106,32,0.9986,2.89,0.5,9.6,"B"
"652",0.88,0.25,2.5,0.104,155,1.001,3.41,0.67,11.2,"B"
"653",0.36,0.65,7.5,0.096,71,0.9976,2.98,0.84,14.9,"B"
"654",0.33,0.59,2.8,0.079,30,0.9976,3.12,0.54,12,"G"
"655",0.47,0.47,2.4,0.074,29,0.9979,3.08,0.46,9.5,"B"
"656",0.55,0.17,2.9,0.087,53,1.0004,3.14,0.61,9.4,"B"
"657",0.43,0.39,2.2,0.106,32,0.9986,2.89,0.5,9.6,"B"
"658",0.5,0.59,1.4,0.073,42,0.998,2.92,0.68,10.5,"G"
"659",0.52,0.07,1.4,0.074,20,0.9973,3.32,0.81,9.6,"G"
"660",0.84,0.02,4.4,0.096,13,0.997,3.41,0.57,11,"B"
"661",0.52,0.07,1.4,0.074,20,0.9973,3.32,0.81,9.6,"G"
"662",0.42,0.31,1.6,0.08,42,0.9978,3.31,0.64,9,"B"
"663",0.57,0.06,1.6,0.076,27,0.9972,3.36,0.7,9.6,"G"
"664",0.28,0.46,1.8,0.05,13,0.9974,3.04,0.79,10.2,"G"
"665",0.4,0.52,2,0.092,54,1,3.03,0.66,10.2,"B"
"666",0.59,0.14,2,0.084,48,0.9981,3.14,0.56,9.7,"B"
"667",0.49,0.36,1.8,0.222,16,0.998,3.18,0.6,9.5,"G"
"668",0.34,0.45,2,0.082,15,0.9988,2.94,0.66,9.2,"G"
"669",0.73,0.43,2.3,0.059,31,0.9966,3.15,0.57,11,"B"
"670",0.34,0.45,2,0.082,15,0.9988,2.94,0.66,9.2,"G"
"671",0.4,0.24,2.5,0.083,45,0.9959,3.26,0.58,10,"B"
"672",0.73,0.21,1.7,0.074,13,0.9968,3.2,0.52,9.5,"B"
"673",1.24,0.34,2,0.079,151,0.998,3.15,0.53,9.5,"B"
"674",0.73,0.21,1.7,0.074,13,0.9968,3.2,0.52,9.5,"B"
